Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7305 - Vote By Mail	1	0	0	0	0	714	5	0	0	4	1	0
Precinct 7305 - Election Day	0	0	0	0	0	153	0	0	0	0	0	0
Precinct 7305	1	0	0	0	0	867	5	0	0	4	1	0
Precinct 7306 - Vote By Mail	1	0	0	0	0	801	5	0	0	4	1	0
Precinct 7306 - Election Day	0	0	2	0	0	243	4	0	0	1	3	1
Precinct 7306	1	0	2	0	0	1,044	9	0	0	5	4	1
Precinct 7307 - Vote By Mail	1	0	0	0	0	605	2	0	0	1	1	0
Precinct 7307 - Election Day	0	0	0	0	0	169	0	0	0	0	0	0
Precinct 7307	1	0	0	0	0	774	2	0	0	1	1	0
Precinct 7308 - Vote By Mail	0	0	0	1	0	520	2	0	0	1	1	0
Precinct 7308 - Election Day	1	0	0	0	0	105	4	0	0	3	1	0
Precinct 7308	1	0	0	1	0	625	6	0	0	4	2	0
Precinct 7309 - Vote By Mail	0	0	0	1	0	691	7	0	0	6	1	0
Precinct 7309 - Election Day	0	0	1	0	0	167	1	0	0	0	1	0
Precinct 7309	0	0	1	1	0	858	8	0	0	6	2	0
Precinct 7311 - Vote By Mail	0	0	1	0	0	698	4	0	0	3	1	0
Precinct 7311 - Election Day	0	0	0	0	0	208	1	0	0	1	0	0
Precinct 7311	0	0	1	0	0	906	5	0	0	4	1	0
Precinct 7312 - Vote By Mail	0	0	0	0	0	700	5	0	0	5	0	0
Precinct 7312 - Election Day	0	0	0	0	0	110	2	0	0	1	1	1
Precinct 7312	0	0	0	0	0	810	7	0	0	6	1	1
Precinct 7313 - Vote By Mail	0	0	0	0	0	819	4	0	0	4	0	0
Precinct 7313 - Election Day	0	0	0	0	0	184	1	0	0	1	0	0
Precinct 7313	0	0	0	0	0	1,003	5	0	0	5	0	0
Precinct 7314 - Vote By Mail	0	0	0	0	0	612	0	0	0	0	0	0
Precinct 7314 - Election Day	0	0	0	0	1	147	2	0	0	0	2	1
