Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7815 - None	0	0	954	0	0	0	0	0
Precinct 7816 - None	0	0	865	0	0	0	0	0
Precinct 7816 - None	0	0	865	0	0	0	0	0
Precinct 7817 - None	0	0	823	0	0	0	0	0
Precinct 7817 - None	0	0	823	0	0	0	0	0
Precinct 7818 - None	0	0	860	0	0	0	0	0
Precinct 7818 - None	0	0	860	0	0	0	0	0
Precinct 7819 - None	0	0	793	0	0	0	0	0
Precinct 7819 - None	0	0	793	0	0	0	0	0
Precinct 7821 - None	0	0	985	0	0	0	0	0
Precinct 7821 - None	0	0	985	0	0	0	0	0
Precinct 7822 - None	0	0	908	0	0	0	0	0
Precinct 7822 - None	0	0	908	0	0	0	0	0
Precinct 7823 - None	0	0	879	0	0	0	0	0
Precinct 7823 - None	0	0	879	0	0	0	0	0
Precinct 7824 - None	0	0	768	0	0	0	0	0
Precinct 7824 - None	0	0	768	0	0	0	0	0
Precinct 7825 - None	0	0	597	0	0	0	0	0
Precinct 7825 - None	0	0	597	0	0	0	0	0
Precinct 7826 - None	0	0	684	0	0	0	0	0
Precinct 7826 - None	0	0	684	0	0	0	0	0
