Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7609 - Election Day	0	0	926	0	0	0	0	0
Precinct 7609 - Vote By Mail	0	0	926	0	0	0	0	0
Precinct 7611 - Election Day	0	0	755	0	0	0	0	0
Precinct 7611 - Vote By Mail	0	0	755	0	0	0	0	0
Precinct 7612 - Election Day	0	0	583	0	0	0	0	0
Precinct 7612 - Vote By Mail	0	0	583	0	0	0	0	0
Precinct 7613 - Election Day	0	0	908	0	0	0	0	0
Precinct 7613 - Vote By Mail	0	0	908	0	0	0	0	0
Precinct 7614 - Election Day	0	0	1,029	0	0	0	0	0
Precinct 7614 - Vote By Mail	0	0	1,029	0	0	0	0	0
Precinct 7615 - Election Day	0	0	762	0	0	0	0	0
Precinct 7615 - Vote By Mail	0	0	762	0	0	0	0	0
Precinct 7616 - Election Day	0	0	1,203	0	0	0	0	0
Precinct 7616 - Vote By Mail	0	0	1,203	0	0	0	0	0
