Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7545 - Election Day	129	35	877	179	0	0	15	164
Precinct 7545 - Vote By Mail	184	83	877	291	-1	0	25	267
Precinct 7546 - Election Day	134	60	913	219	0	0	25	194
Precinct 7546 - Vote By Mail	212	80	913	310	2	0	16	292
Precinct 7547 - Election Day	149	67	987	244	-2	0	30	216
Precinct 7547 - Vote By Mail	207	78	987	322	6	0	31	285
Precinct 7548 - Election Day	159	64	1,054	236	-1	0	14	223
Precinct 7548 - Vote By Mail	229	91	1,054	345	2	0	23	320
Precinct 7549 - Election Day	117	27	785	165	-1	0	22	144
Precinct 7549 - Vote By Mail	161	83	785	281	3	0	34	244
Precinct 7551 - Election Day	128	52	705	199	0	0	19	180
Precinct 7551 - Vote By Mail	154	63	705	240	-2	0	25	217
Precinct 7552 - Election Day	133	46	718	191	0	0	12	179
Precinct 7552 - Vote By Mail	147	67	718	232	-2	0	20	214
Precinct 7553 MB - Vote By Mail	47	30	171	87	0	0	10	77
Precinct 7554 - Election Day	118	47	785	179	-1	0	15	165
Precinct 7554 - Vote By Mail	207	87	785	323	0	0	29	294
Precinct 7555 - Election Day	163	58	847	242	0	0	21	221
Precinct 7555 - Vote By Mail	192	89	847	304	2	0	21	281
Precinct 7556/7557 - Election Day	140	63	961	223	-1	0	21	203
Precinct 7556/7557 - Vote By Mail	255	132	961	422	0	0	35	387
Precinct 7601 - Election Day	84	36	744	128	-4	1	11	120
Precinct 7601 - Vote By Mail	106	58	744	185	6	0	15	164
Precinct 7602 - Election Day	97	34	880	147	0	0	16	131
Precinct 7602 - Vote By Mail	143	78	880	243	-1	0	23	221
Precinct 7603 - Election Day	109	28	826	152	-1	1	15	137
Precinct 7603 - Vote By Mail	143	55	826	215	-1	0	18	198
Precinct 7604 - Election Day	80	37	906	133	0	0	16	117
Precinct 7604 - Vote By Mail	137	72	906	233	0	1	23	209
Precinct 7605 - Election Day	48	15	651	77	0	0	14	63
Precinct 7605 - Vote By Mail	90	40	651	155	1	0	24	130
Precinct 7606 - Election Day	80	30	895	127	2	0	15	110
Precinct 7606 - Vote By Mail	132	66	895	212	1	0	13	198
Precinct 7607 - Election Day	70	36	955	120	0	0	14	106
Precinct 7607 - Vote By Mail	167	81	955	265	-3	1	19	248
Precinct 7608 - Election Day	25	17	388	46	0	0	4	42
Precinct 7608 - Vote By Mail	66	26	388	119	0	0	27	92
Precinct 7609 - Election Day	54	26	916	101	1	0	20	80
Precinct 7609 - Vote By Mail	160	70	916	297	1	0	66	230
Precinct 7611 - Election Day	39	24	756	76	0	0	13	63
Precinct 7611 - Vote By Mail	111	60	756	204	2	0	31	171
Precinct 7612 - Election Day	45	23	574	76	2	0	6	68
Precinct 7612 - Vote By Mail	126	55	574	210	1	0	28	181
Precinct 7613 - Election Day	82	42	887	140	-1	0	17	124
Precinct 7613 - Vote By Mail	133	58	887	215	0	0	24	191
Precinct 7614 - Election Day	76	32	1,015	123	-3	0	18	108
Precinct 7614 - Vote By Mail	142	79	1,015	238	1	0	16	221
Precinct 7615 - Election Day	60	28	832	108	0	0	20	88
Precinct 7615 - Vote By Mail	84	60	832	170	0	0	26	144
Precinct 7616 - Election Day	73	43	951	129	1	0	12	116
Precinct 7616 - Vote By Mail	197	110	951	331	-1	0	25	307
