Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9211 - None	44	22	12	78	834	212	1	0	55	156	0
Precinct 9212 - None	11	24	1	53	764	121	0	0	32	89	0
Precinct 9212 - None	30	31	12	76	764	205	3	0	52	150	1
Precinct 9213 - None	13	36	7	59	890	140	0	0	25	115	0
Precinct 9213 - None	45	47	9	106	890	260	2	1	50	207	0
Precinct 9214 - None	13	16	3	30	581	92	0	0	29	63	1
Precinct 9214 - None	55	33	7	67	581	203	2	0	39	162	0
Precinct 9215 - None	25	17	6	42	626	130	0	0	39	91	1
Precinct 9215 - None	37	16	11	65	626	170	-1	0	40	131	2
Precinct 9216 - None	17	21	4	56	798	134	-1	0	34	101	3
Precinct 9216 - None	39	25	4	68	798	206	0	0	70	136	0
Precinct 9217 - None	21	17	2	50	684	123	0	1	31	91	1
Precinct 9217 - None	36	28	10	67	684	187	3	0	43	141	0
Precinct 9218 - None	20	15	3	52	797	119	0	0	29	90	0
Precinct 9218 - None	43	43	15	76	797	225	2	0	45	178	1
Precinct 9219 - None	20	20	5	63	733	146	0	0	33	113	5
Precinct 9219 - None	19	31	12	79	733	187	0	0	46	141	0
Precinct 9221 - None	21	20	6	38	641	121	0	0	35	86	1
Precinct 9221 - None	57	48	10	88	641	278	1	0	73	204	1
Precinct 9222 - None	18	15	6	57	842	139	-1	0	43	97	1
Precinct 9222 - None	53	41	6	94	842	268	3	0	71	194	0
Precinct 9223 - None	16	14	3	33	606	88	1	0	21	66	0
Precinct 9223 - None	38	24	8	75	606	202	1	0	56	145	0
Precinct 9224 - None	36	28	13	43	912	171	6	0	45	120	0
Precinct 9224 - None	69	42	9	116	912	308	7	0	65	236	0
Precinct 9225 - None	25	25	4	77	898	161	0	0	30	131	0
Precinct 9225 - None	43	32	18	99	898	243	0	0	51	192	0
Precinct 9226 - None	24	22	5	53	905	143	-1	0	37	107	3
Precinct 9226 - None	50	40	8	116	905	312	0	1	92	219	5
Precinct 9227 - None	13	16	13	62	729	140	0	0	35	105	1
Precinct 9227 - None	60	41	19	110	729	304	-1	0	74	231	1
Precinct 9228 - None	25	20	7	82	726	175	3	0	38	134	0
Precinct 9228 - None	65	25	22	101	726	277	4	1	59	213	0
Precinct 9229 - None	20	18	2	61	596	130	-1	0	28	103	2
Precinct 9229 - None	41	29	5	83	596	219	-1	0	60	160	2
Precinct 9231 - None	18	30	7	99	919	221	-2	0	64	159	5
Precinct 9231 - None	28	35	19	132	919	294	-2	1	78	217	3
Precinct 9232 - None	17	32	7	64	701	151	0	0	31	120	0
Precinct 9232 - None	43	26	18	114	701	274	1	0	72	201	0
Precinct 9233 - None	19	10	6	48	774	139	0	0	55	84	1
Precinct 9233 - None	65	41	10	115	774	308	2	0	74	232	1
Precinct 9234 - None	12	25	3	56	731	131	-1	0	36	96	0
Precinct 9234 - None	46	47	15	93	731	281	3	0	75	203	2
Precinct 9235 - None	32	29	5	60	842	174	1	0	47	126	0
Precinct 9235 - None	56	43	6	119	842	298	-1	0	75	224	0
