Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7007 - Vote By Mail	10	5	242	916	323	0	0	65	258	1
Precinct 7008 - Election Day	10	3	125	861	187	0	0	49	138	0
Precinct 7008 - Vote By Mail	26	4	255	861	345	0	0	59	286	1
Precinct 7009 - Election Day	5	6	89	864	133	0	0	33	100	0
Precinct 7009 - Vote By Mail	16	11	223	864	312	0	0	61	251	1
Precinct 7011 - Election Day	5	6	95	976	141	0	0	34	107	1
Precinct 7011 - Vote By Mail	6	9	148	976	205	0	0	42	163	0
Precinct 7012 - Election Day	21	7	147	1,061	224	0	0	49	175	0
Precinct 7012 - Vote By Mail	26	12	273	1,061	383	0	0	72	311	0
Precinct 7013 - Election Day	5	8	93	805	132	0	0	25	107	1
Precinct 7013 - Vote By Mail	13	5	190	805	251	0	0	42	209	1
Precinct 7014 - Election Day	8	7	143	1,213	188	0	0	30	158	0
