Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7311 - Election Day	2	62	55	34	5	13	0	3	0	901	175	0	0	1	0	174	0
Precinct 7311 - Vote By Mail	0	86	86	59	4	19	1	4	0	901	266	0	1	4	0	261	2
Precinct 7312 - Election Day	0	52	40	18	5	10	1	1	0	810	128	0	0	1	0	127	0
Precinct 7312 - Vote By Mail	0	136	88	52	9	27	2	6	0	810	332	1	4	6	0	321	1
Precinct 7313 - Election Day	1	42	33	39	0	13	2	0	0	925	135	0	0	5	0	130	0
Precinct 7313 - Vote By Mail	0	103	83	61	16	27	1	17	0	925	315	-2	1	8	0	308	0
Precinct 7314 - Election Day	1	24	23	23	2	4	0	11	0	760	92	1	0	2	0	89	1
Precinct 7314 - Vote By Mail	0	68	43	58	5	6	0	35	0	760	213	-4	0	2	0	215	0
Precinct 7315 - Election Day	0	23	34	47	1	7	1	3	0	725	119	0	1	2	0	116	0
Precinct 7315 - Vote By Mail	0	58	47	38	3	13	2	15	0	725	178	-1	0	2	0	177	1
Precinct 7316 - Election Day	2	25	34	37	3	11	1	3	0	824	122	0	3	2	0	117	1
Precinct 7316 - Vote By Mail	0	78	51	83	6	17	1	27	0	824	266	-1	1	3	0	263	0
Precinct 7317 - Election Day	0	33	31	38	2	10	1	2	0	886	117	-1	0	1	0	117	0
Precinct 7317 - Vote By Mail	1	114	98	66	14	25	1	15	0	886	340	1	2	3	0	334	0
Precinct 7318 - Election Day	0	39	28	35	4	12	1	2	0	709	123	0	0	2	0	121	0
Precinct 7318 - Vote By Mail	0	81	62	63	5	9	0	22	0	709	243	-2	1	2	0	242	0
Precinct 7319 - Election Day	0	66	42	46	7	13	2	5	0	1,035	182	-1	2	0	0	181	0
Precinct 7319 - Vote By Mail	1	113	64	66	15	21	2	9	0	1,035	296	0	1	4	0	291	0
Precinct 7321 - Election Day	0	29	21	32	2	9	0	6	0	644	100	-1	0	2	0	99	0
Precinct 7321 - Vote By Mail	0	62	52	45	4	13	1	32	0	644	211	1	1	0	0	209	0
Precinct 7322 - Election Day	0	24	7	16	1	3	0	8	0	859	60	0	0	1	0	59	0
Precinct 7322 - Vote By Mail	2	78	67	91	4	6	0	57	0	859	304	-6	3	2	0	305	0
Precinct 7323 - Election Day	0	53	40	27	3	11	2	6	0	881	146	1	1	1	0	143	1
Precinct 7323 - Vote By Mail	0	86	84	51	13	18	0	14	0	881	273	-1	0	7	0	267	1
Precinct 7324 - Election Day	0	31	29	37	4	13	1	6	0	687	125	0	0	4	0	121	0
Precinct 7324 - Vote By Mail	0	70	48	48	6	11	0	14	0	687	198	-2	1	1	0	198	1
Precinct 7325 - Election Day	1	56	33	42	3	9	1	2	0	870	150	0	1	2	0	147	0
Precinct 7325 - Vote By Mail	0	103	54	73	7	21	2	10	0	870	276	0	0	5	0	271	1
Precinct 7326 - Election Day	0	38	36	59	3	4	0	6	0	853	150	0	1	3	0	146	0
Precinct 7326 - Vote By Mail	1	87	50	72	9	11	0	25	0	853	256	-3	0	4	0	255	0
Precinct 7327 - Election Day	0	14	13	24	0	5	0	5	0	684	62	0	0	1	0	61	0
Precinct 7327 - Vote By Mail	0	78	51	83	4	8	2	53	0	684	277	-5	1	1	0	280	1
