Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7548 - None	165	125	1,054	345	4	0	49	292	2
Precinct 7549 - None	61	72	785	165	-2	0	34	133	0
Precinct 7549 - None	109	112	785	281	1	0	59	221	0
Precinct 7551 - None	79	83	705	199	-1	0	38	162	0
Precinct 7551 - None	102	88	705	240	2	0	48	190	0
Precinct 7552 - None	75	77	718	191	0	0	38	153	1
Precinct 7552 - None	116	75	718	232	0	0	41	191	0
Precinct 7553 MB - None	51	27	171	87	2	0	7	78	0
Precinct 7554 - None	75	58	785	179	-1	0	45	135	2
Precinct 7554 - None	176	68	785	323	0	1	78	244	0
Precinct 7555 - None	113	74	847	242	0	0	54	188	1
Precinct 7555 - None	161	98	847	304	1	0	44	259	0
Precinct 7556/7557 - None	100	70	961	223	-3	0	56	170	0
Precinct 7556/7557 - None	246	102	961	422	1	0	72	349	1
Precinct 7601 - None	42	59	744	128	-1	0	28	101	0
Precinct 7601 - None	67	77	744	185	3	1	36	145	1
Precinct 7602 - None	35	80	880	147	-3	0	34	116	1
Precinct 7602 - None	84	111	880	243	3	0	45	195	0
Precinct 7603 - None	38	78	826	152	1	0	35	116	0
Precinct 7603 - None	82	97	826	215	0	0	35	180	1
Precinct 7604 - None	36	63	906	133	0	0	31	102	3
Precinct 7604 - None	84	111	906	233	-2	0	39	196	1
Precinct 7605 - None	26	34	651	77	0	0	17	60	0
Precinct 7605 - None	64	53	651	155	3	0	34	118	1
Precinct 7606 - None	36	63	895	127	1	0	27	99	0
Precinct 7606 - None	67	101	895	212	1	0	41	170	2
Precinct 7607 - None	33	64	955	120	0	0	23	97	0
Precinct 7607 - None	103	125	955	265	-4	0	41	228	0
Precinct 7608 - None	18	15	388	46	1	0	12	33	0
Precinct 7608 - None	58	42	388	119	-2	0	21	100	0
Precinct 7609 - None	22	47	916	101	0	0	31	70	1
Precinct 7609 - None	137	100	916	297	2	0	58	237	0
Precinct 7611 - None	23	35	756	76	0	0	17	59	1
Precinct 7611 - None	93	71	756	204	2	0	36	166	2
Precinct 7612 - None	31	27	574	76	0	0	18	58	0
Precinct 7612 - None	108	57	574	210	-1	0	46	165	0
Precinct 7613 - None	34	76	887	140	0	0	30	110	0
Precinct 7613 - None	76	97	887	215	2	1	39	173	0
Precinct 7614 - None	33	66	1,015	123	-2	0	26	99	0
Precinct 7614 - None	76	122	1,015	238	0	0	36	202	4
Precinct 7615 - None	26	47	832	108	0	1	32	75	2
Precinct 7615 - None	74	57	832	170	0	0	37	133	2
Precinct 7616 - None	51	52	951	129	-1	0	25	105	2
Precinct 7616 - None	147	119	951	331	2	0	63	266	0
Precinct 7617 - None	22	36	751	84	-1	1	26	58	0
Precinct 7617 - None	79	87	751	223	2	0	55	166	0
Precinct 7618 - None	30	60	866	123	1	0	32	90	0
Precinct 7618 - None	103	123	866	272	-3	0	47	228	2
