Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7508 - None	26	39	11	7	702	106	0	1	22	83	0
Precinct 7508 - None	72	130	34	51	702	340	0	2	50	288	1
Precinct 7509/7511 - None	37	73	21	21	909	171	-2	0	21	152	0
Precinct 7509/7511 - None	55	141	39	46	909	319	0	0	37	282	1
Precinct 7512 - None	22	30	11	15	604	96	2	0	16	78	0
Precinct 7512 - None	51	74	22	19	604	196	2	2	26	166	0
Precinct 7513 - None	24	46	23	19	790	142	0	0	30	112	0
Precinct 7513 - None	40	76	26	26	790	208	0	2	37	169	1
Precinct 7514 - None	9	41	10	15	863	95	-2	0	21	76	1
Precinct 7514 - None	29	100	25	39	863	235	2	1	39	193	0
Precinct 7515 - None	21	59	17	19	845	150	0	0	33	117	1
Precinct 7515 - None	55	111	20	44	845	289	3	0	56	230	0
Precinct 7516 - None	39	47	9	20	886	145	0	0	30	115	0
Precinct 7516 - None	92	160	24	53	886	378	0	0	48	330	1
Precinct 7517 - None	28	91	48	21	863	228	-1	1	39	189	1
Precinct 7517 - None	44	91	35	38	863	251	0	0	43	208	0
Precinct 7518 - None	39	78	41	34	939	235	0	0	43	192	0
Precinct 7518 - None	51	106	51	35	939	298	0	0	55	243	0
Precinct 7519 - None	23	60	45	20	726	179	0	0	31	148	0
Precinct 7519 - None	43	53	28	22	726	185	1	0	38	146	0
Precinct 7521 - None	36	69	45	21	802	211	0	0	39	172	1
Precinct 7521 - None	42	68	38	19	802	215	-1	0	49	167	0
Precinct 7522 - None	30	55	36	22	743	175	-1	0	33	143	0
Precinct 7522 - None	45	82	53	19	743	240	-2	1	42	199	0
Precinct 7523 - None	23	63	63	27	737	208	0	0	32	176	0
Precinct 7523 - None	42	85	32	29	737	223	-2	0	37	188	0
Precinct 7524 - None	36	46	20	12	646	143	2	0	27	114	0
Precinct 7524 - None	29	66	24	24	646	165	1	1	19	144	1
Precinct 7525 - None	19	60	21	12	779	145	-3	0	35	113	1
Precinct 7525 - None	37	89	27	24	779	214	4	0	33	177	0
Precinct 7526 - None	41	71	35	22	947	197	1	0	26	170	1
Precinct 7526 - None	69	109	40	43	947	313	2	0	50	261	0
Precinct 7527/7528 - None	36	44	31	16	729	162	0	0	35	127	0
