Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7624 - None	68	93	905	195	1	0	33	161	0
Precinct 7625 - None	17	31	821	73	0	0	25	48	0
Precinct 7625 - None	56	273	821	415	0	1	84	330	1
Precinct 7626 - None	31	61	1,081	128	1	0	35	92	0
Precinct 7626 - None	84	194	1,081	361	1	0	81	279	1
Precinct 7627 - None	36	52	1,075	116	-1	0	29	88	0
Precinct 7627 - None	69	173	1,075	319	0	0	77	242	0
Precinct 7628 - None	60	52	906	156	0	0	44	112	0
Precinct 7628 - None	109	113	906	267	0	0	43	224	2
Precinct 7629 - None	50	35	805	108	-1	0	24	85	0
Precinct 7629 - None	64	94	805	206	2	0	45	159	1
Precinct 7631 - None	64	48	1,085	146	-1	0	33	114	2
Precinct 7631 - None	92	178	1,085	339	2	0	66	271	1
Precinct 7632 - None	59	71	965	167	1	0	35	131	1
Precinct 7632 - None	120	121	965	286	0	0	45	241	0
Precinct 7633 - None	30	40	702	90	0	0	19	71	1
Precinct 7633 - None	58	151	702	253	0	0	44	209	0
Precinct 7634 - None	36	51	859	120	1	0	30	89	2
Precinct 7634 - None	77	168	859	291	2	0	44	245	0
