Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7634 - Election Day	31	147	900	195	0	0	17	178
Precinct 7634 - Vote By Mail	58	340	900	421	0	0	23	398
Precinct 7635 - Election Day	25	124	840	158	0	0	9	149
Precinct 7635 - Vote By Mail	36	327	840	382	0	0	19	363
Precinct 7636 - Election Day	34	206	938	251	0	0	11	240
Precinct 7636 - Vote By Mail	55	396	938	465	0	0	14	451
Precinct 7637 - Election Day	40	148	809	193	0	0	5	188
Precinct 7637 - Vote By Mail	55	335	809	404	0	0	14	390
Precinct 7638 - Election Day	50	232	1,467	295	0	0	13	282
Precinct 7638 - Vote By Mail	156	687	1,467	871	1	0	27	843
Precinct 7639 - Election Day	40	193	1,011	242	0	0	9	233
Precinct 7639 - Vote By Mail	72	472	1,011	559	0	0	15	544
Precinct 7641 - Election Day	40	156	972	205	0	0	9	196
Precinct 7641 - Vote By Mail	102	425	972	549	0	0	22	527
Precinct 7642 - Election Day	15	136	937	153	0	0	2	151
Precinct 7642 - Vote By Mail	42	342	937	394	0	1	9	384
Precinct 7643 - Election Day	19	140	920	169	0	0	10	159
Precinct 7643 - Vote By Mail	64	420	920	507	0	0	23	484
Precinct 7644 - Election Day	29	285	1,175	330	0	0	16	314
Precinct 7644 - Vote By Mail	53	483	1,175	554	0	0	18	536
Precinct 7645 - Election Day	24	90	640	120	0	0	6	114
Precinct 7645 - Vote By Mail	68	298	640	377	0	0	11	366
Precinct 7646 - Election Day	24	230	1,100	267	0	0	13	254
Precinct 7646 - Vote By Mail	59	514	1,100	592	0	0	19	573
Precinct 7647 - Election Day	22	167	1,075	205	0	0	16	189
Precinct 7647 - Vote By Mail	26	246	1,075	283	0	0	11	272
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	0	0
Precinct 7649 - Election Day	19	153	891	178	0	0	6	172
Precinct 7649 - Vote By Mail	48	320	891	395	0	0	27	368
Precinct 7651 - Election Day	24	129	677	166	1	0	12	153
Precinct 7651 - Vote By Mail	40	301	677	351	0	0	10	341
Precinct 7652 - Election Day	21	111	628	135	0	0	3	132
Precinct 7652 - Vote By Mail	31	257	628	301	0	1	12	288
Precinct 7653 - Election Day	31	258	1,280	300	0	0	11	289
