Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7606 - Election Day	132	48	924	205	0	0	25	180
Precinct 7606 - Vote By Mail	218	76	924	330	0	0	36	294
Precinct 7607 - Election Day	153	42	960	215	0	0	20	195
Precinct 7607 - Vote By Mail	284	98	960	407	0	0	25	382
Precinct 7608 - Election Day	48	15	392	70	0	0	7	63
Precinct 7608 - Vote By Mail	77	36	392	136	0	0	23	113
Precinct 7609 - Election Day	70	32	926	120	0	1	17	102
Precinct 7609 - Vote By Mail	219	70	926	352	0	0	63	289
Precinct 7611 - Election Day	67	38	755	126	0	0	21	105
Precinct 7611 - Vote By Mail	144	68	755	269	0	0	57	212
Precinct 7612 - Election Day	55	25	583	97	0	0	17	80
Precinct 7612 - Vote By Mail	145	79	583	265	0	0	41	224
Precinct 7613 - Election Day	136	42	908	204	0	0	26	178
Precinct 7613 - Vote By Mail	226	79	908	340	0	0	35	305
Precinct 7614 - Election Day	145	46	1,029	223	0	0	32	191
Precinct 7614 - Vote By Mail	265	95	1,029	375	0	1	14	360
Precinct 7615 - Election Day	93	36	762	162	0	0	33	129
Precinct 7615 - Vote By Mail	141	51	762	237	0	0	45	192
Precinct 7616 - Election Day	211	77	1,203	324	0	0	36	288
Precinct 7616 - Vote By Mail	476	166	1,203	686	0	0	44	642
Precinct 7617 - Election Day	60	24	768	102	0	1	17	84
