Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9214 - Vote By Mail	60	32	26	43	72	7	640	334	0	3	91	240	0
Precinct 9215 - Election Day	44	26	8	26	36	3	652	194	0	1	50	143	0
Precinct 9215 - Vote By Mail	61	26	26	39	63	5	652	327	0	2	104	221	1
Precinct 9216 - Election Day	46	19	12	39	43	5	845	246	0	2	80	164	0
Precinct 9216 - Vote By Mail	68	35	30	66	64	6	845	379	0	3	107	269	0
Precinct 9217 - Election Day	32	24	10	22	25	5	698	194	0	3	73	118	0
Precinct 9217 - Vote By Mail	51	39	26	47	60	6	698	349	0	4	115	230	1
Precinct 9218 - Election Day	44	28	17	34	36	9	841	249	0	2	79	168	0
Precinct 9218 - Vote By Mail	68	38	37	69	63	10	841	412	0	3	124	285	0
Precinct 9219 - Election Day	36	27	29	42	37	7	802	242	0	1	63	178	0
Precinct 9219 - Vote By Mail	65	42	25	81	73	4	802	399	0	5	104	290	0
Precinct 9221 - Election Day	22	11	7	13	39	3	651	145	0	3	46	96	1
Precinct 9221 - Vote By Mail	68	30	27	44	79	3	651	399	0	7	141	251	0
Precinct 9222 - Election Day	33	15	6	34	52	6	883	249	0	2	101	146	0
Precinct 9222 - Vote By Mail	71	38	34	48	96	6	883	449	0	7	149	293	0
Precinct 9223 - Election Day	22	24	8	24	28	4	638	160	0	1	49	110	0
Precinct 9223 - Vote By Mail	57	27	19	51	68	3	638	338	0	2	111	225	0
Precinct 9224 - Election Day	47	29	15	33	41	8	960	263	0	3	87	173	0
Precinct 9224 - Vote By Mail	86	44	51	95	76	5	960	506	0	2	147	357	0
Precinct 9225 - Election Day	55	23	15	42	46	10	958	299	0	2	105	192	1
Precinct 9225 - Vote By Mail	58	38	35	102	82	8	958	469	0	5	140	324	1
Precinct 9226 - Election Day	52	27	17	42	44	3	926	271	0	4	82	185	0
Precinct 9226 - Vote By Mail	52	44	41	97	98	10	926	486	0	4	137	345	3
Precinct 9227 - Election Day	27	13	16	37	39	2	738	188	0	0	54	134	0
Precinct 9227 - Vote By Mail	61	34	44	73	82	3	738	404	0	3	104	297	0
Precinct 9228 - Election Day	33	22	15	27	33	4	747	189	0	0	55	134	0
Precinct 9228 - Vote By Mail	82	40	42	59	78	9	747	424	0	8	104	312	2
Precinct 9229 - Election Day	22	14	18	21	27	4	598	162	0	1	55	106	0
Precinct 9229 - Vote By Mail	38	35	28	49	66	8	598	316	0	4	87	225	1
Precinct 9231 - Election Day	27	26	31	78	55	5	953	313	0	7	84	222	0
Precinct 9231 - Vote By Mail	53	50	53	121	74	6	953	488	0	6	125	357	0
Precinct 9232 - Election Day	30	24	19	38	28	5	735	212	0	3	65	144	0
Precinct 9232 - Vote By Mail	54	31	39	78	78	6	735	396	0	9	101	286	0
Precinct 9233 - Election Day	32	14	10	39	39	4	793	209	0	1	70	138	0
Precinct 9233 - Vote By Mail	72	30	35	75	76	3	793	434	0	3	140	291	0
Precinct 9234 - Election Day	28	18	17	36	33	5	746	187	0	0	50	137	0
Precinct 9234 - Vote By Mail	64	34	38	95	86	5	746	438	0	7	109	322	0
Precinct 9235 - Election Day	41	14	17	28	52	3	884	239	0	3	81	155	0
Precinct 9235 - Vote By Mail	82	40	43	54	89	6	884	488	0	3	170	315	1
Precinct 9236 - Election Day	48	20	14	24	26	5	683	201	0	2	61	138	1
Precinct 9236 - Vote By Mail	49	30	40	55	72	3	683	358	0	2	107	249	0
Precinct 9237 - Election Day	36	21	18	29	37	2	936	229	0	2	84	143	0
Precinct 9237 - Vote By Mail	65	47	55	84	115	5	936	539	0	7	160	372	1
Precinct 9238 - Election Day	29	12	17	36	42	5	842	230	0	2	87	141	0
Precinct 9238 - Vote By Mail	75	35	41	55	113	8	842	456	0	3	126	327	0
Precinct 9239 - Election Day	43	20	10	23	35	6	881	200	0	4	59	137	0
Precinct 9239 - Vote By Mail	82	34	49	80	102	1	881	499	0	4	147	348	0
Precinct 9241 - Election Day	33	21	19	36	52	5	1,005	255	0	6	83	166	0
Precinct 9241 - Vote By Mail	95	57	51	97	123	9	1,005	578	0	5	141	432	0
Precinct 9242 - Election Day	46	25	15	52	33	6	972	277	0	2	96	179	2
Precinct 9242 - Vote By Mail	86	40	48	88	96	9	972	513	0	3	143	367	0
Precinct 9243 - Election Day	38	15	16	29	35	5	594	193	0	1	54	138	0
