Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7615 - None	101	762	162	1	0	57	0	104	3
Precinct 7615 - None	185	762	237	1	0	48	0	188	3
Precinct 7616 - None	233	1,203	324	1	0	90	0	233	0
Precinct 7616 - None	526	1,203	686	3	0	148	0	535	9
Precinct 7617 - None	72	768	102	3	0	25	0	74	2
Precinct 7617 - None	211	768	261	2	0	40	0	219	8
Precinct 7618 - None	138	862	168	1	0	29	0	138	0
Precinct 7618 - None	321	862	407	5	1	78	0	323	2
Precinct 7619 - None	173	1,063	219	2	0	38	0	179	6
Precinct 7619 - None	450	1,063	563	1	0	107	0	455	5
Precinct 7621 - None	219	1,320	287	5	0	59	0	223	4
Precinct 7621 - None	521	1,320	668	1	0	135	0	532	11
Precinct 7622 - None	130	988	170	0	0	39	0	131	1
Precinct 7622 - None	236	988	301	1	0	60	0	240	4
Precinct 7623 - None	127	746	184	10	0	43	0	131	4
Precinct 7623 - None	234	746	297	3	0	56	0	238	4
Precinct 7624 - None	113	859	142	3	0	23	0	116	3
Precinct 7624 - None	235	859	290	-1	0	50	0	241	6
Precinct 7625 - None	39	822	66	0	0	25	0	41	2
Precinct 7625 - None	358	822	475	1	0	112	0	362	4
Precinct 7626 - None	164	1,114	227	3	0	58	0	166	2
Precinct 7626 - None	470	1,114	612	2	0	137	0	473	3
Precinct 7627 - None	188	1,187	267	1	0	77	0	189	1
Precinct 7627 - None	400	1,187	582	17	0	156	0	409	9
Precinct 7628 - None	184	960	241	1	0	52	0	188	4
Precinct 7628 - None	355	960	428	-3	0	71	0	360	5
Precinct 7629 - None	165	809	208	4	0	39	0	165	0
Precinct 7629 - None	277	809	343	1	0	62	0	280	3
Precinct 7631 - None	198	1,155	270	1	0	69	0	200	2
Precinct 7631 - None	449	1,155	577	5	0	118	0	454	5
Precinct 7632 - None	220	1,124	289	3	0	64	0	222	2
Precinct 7632 - None	461	1,124	561	7	1	88	0	465	4
Precinct 7633 - None	105	741	137	-2	0	33	0	106	1
Precinct 7633 - None	306	741	392	3	0	79	0	310	4
Precinct 7634 - None	134	900	195	2	0	58	0	135	1
Precinct 7634 - None	332	900	421	2	0	80	0	339	7
Precinct 7635 - None	116	840	158	0	0	41	0	117	1
Precinct 7635 - None	298	840	382	7	0	70	0	305	7
