Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7545 - None	126	245	918	480	0	2	104	374	3
Precinct 7546 - None	72	164	982	304	0	0	67	237	1
Precinct 7546 - None	128	290	982	517	0	2	94	421	3
Precinct 7547 - None	66	178	1,029	315	0	1	70	244	0
Precinct 7547 - None	86	310	1,029	505	0	2	105	398	2
Precinct 7548 - None	72	172	1,073	319	1	0	73	245	1
Precinct 7548 - None	127	288	1,073	512	0	2	93	417	2
Precinct 7549 - None	45	121	811	215	0	0	49	166	0
Precinct 7549 - None	92	240	811	431	0	6	90	335	3
Precinct 7551 - None	58	130	741	239	0	0	51	188	0
Precinct 7551 - None	83	233	741	394	0	2	72	320	4
Precinct 7552 - None	59	133	727	241	0	1	47	193	1
Precinct 7552 - None	83	204	727	361	0	2	71	288	1
Precinct 7553 MB - None	42	57	180	126	0	1	26	99	0
Precinct 7554 - None	69	125	808	247	0	0	51	196	2
Precinct 7554 - None	122	230	808	442	0	1	88	353	1
Precinct 7555 - None	67	168	886	290	0	1	53	236	1
Precinct 7555 - None	117	238	886	459	0	0	103	356	1
Precinct 7556/7557 - None	84	133	969	275	0	0	56	219	2
Precinct 7556/7557 - None	181	297	969	573	0	0	93	480	2
Precinct 7601 - None	57	93	767	191	0	1	37	153	3
Precinct 7601 - None	86	146	767	290	0	2	54	234	2
Precinct 7602 - None	47	115	901	213	0	3	43	167	5
Precinct 7602 - None	89	215	901	379	0	3	68	308	4
Precinct 7603 - None	57	145	830	250	0	0	47	203	1
Precinct 7603 - None	80	209	830	376	0	0	87	289	0
Precinct 7604 - None	69	143	954	266	0	2	51	213	1
Precinct 7604 - None	85	212	954	352	0	1	53	298	1
Precinct 7605 - None	39	53	648	120	0	0	25	95	3
Precinct 7605 - None	45	110	648	203	0	3	45	155	0
Precinct 7606 - None	60	93	924	205	0	2	50	153	0
Precinct 7606 - None	97	157	924	330	0	2	67	261	7
Precinct 7607 - None	60	98	960	215	0	2	54	159	1
Precinct 7607 - None	116	217	960	407	0	2	69	336	3
Precinct 7608 - None	22	32	392	70	0	0	16	54	0
Precinct 7608 - None	43	49	392	136	0	6	36	94	2
Precinct 7609 - None	31	63	926	120	0	3	22	95	1
Precinct 7609 - None	115	146	926	352	0	4	86	262	1
Precinct 7611 - None	42	54	755	126	0	2	27	97	1
Precinct 7611 - None	84	118	755	269	0	0	64	205	3
Precinct 7612 - None	28	43	583	97	0	3	22	72	1
Precinct 7612 - None	72	132	583	265	0	2	57	206	2
Precinct 7613 - None	54	100	908	204	0	2	48	154	0
Precinct 7613 - None	99	174	908	340	0	6	56	278	5
Precinct 7614 - None	53	97	1,029	223	0	1	72	150	0
Precinct 7614 - None	102	200	1,029	375	0	1	69	305	3
Precinct 7615 - None	43	70	762	162	0	1	47	114	1
Precinct 7615 - None	70	106	762	237	0	1	60	176	0
Precinct 7616 - None	99	126	1,203	324	0	1	98	225	0
Precinct 7616 - None	172	350	1,203	686	0	6	158	522	0
Precinct 7617 - None	27	50	768	102	0	1	24	77	0
Precinct 7617 - None	77	116	768	261	0	1	64	196	3
Precinct 7618 - None	33	98	862	168	0	1	35	132	1
Precinct 7618 - None	86	229	862	407	0	2	84	321	6
Precinct 7619 - None	53	121	1,063	219	0	0	42	177	3
Precinct 7619 - None	154	291	1,063	563	0	2	115	446	1
Precinct 7621 - None	84	128	1,320	287	0	1	72	214	2
Precinct 7621 - None	178	337	1,320	668	0	5	142	521	6
Precinct 7622 - None	55	71	988	170	0	5	38	127	1
Precinct 7622 - None	91	144	988	301	0	4	59	238	3
Precinct 7623 - None	47	91	746	184	0	2	42	140	2
Precinct 7623 - None	80	157	746	297	0	1	56	240	3
Precinct 7624 - None	44	68	859	142	0	1	26	115	3
Precinct 7624 - None	101	128	859	290	0	4	56	230	1
Precinct 7625 - None	28	24	822	66	0	0	14	52	0
Precinct 7625 - None	151	166	822	475	0	9	145	321	4
Precinct 7626 - None	76	87	1,114	227	0	2	58	167	4
Precinct 7626 - None	167	280	1,114	612	0	3	157	452	5
Precinct 7627 - None	92	96	1,187	267	0	1	77	189	1
Precinct 7627 - None	196	229	1,187	582	0	2	154	426	1
Precinct 7628 - None	64	117	960	241	0	4	52	185	4
Precinct 7628 - None	93	244	960	428	0	2	85	341	4
Precinct 7629 - None	54	106	809	208	0	0	45	163	3
Precinct 7629 - None	94	171	809	343	0	1	75	267	2
Precinct 7631 - None	86	104	1,155	270	0	0	79	191	1
Precinct 7631 - None	143	293	1,155	577	0	8	131	438	2
Precinct 7632 - None	62	136	1,124	289	0	2	87	200	2
