Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7639 - None	66	466	1,011	559	0	0	27	532
Precinct 7641 - None	35	154	972	205	0	0	16	189
Precinct 7641 - None	101	418	972	549	0	0	30	519
Precinct 7642 - None	18	131	937	153	0	0	4	149
Precinct 7642 - None	49	305	937	394	0	0	40	354
Precinct 7643 - None	18	139	920	169	0	0	12	157
Precinct 7643 - None	70	414	920	507	0	0	23	484
Precinct 7644 - None	29	284	1,175	330	0	0	17	313
Precinct 7644 - None	52	483	1,175	554	0	0	19	535
Precinct 7645 - None	18	98	640	120	0	0	4	116
Precinct 7645 - None	63	297	640	377	0	0	17	360
Precinct 7646 - None	20	233	1,100	267	0	0	14	253
Precinct 7646 - None	56	504	1,100	592	0	0	32	560
Precinct 7647 - None	28	161	1,075	205	0	0	16	189
Precinct 7647 - None	23	248	1,075	283	0	0	12	271
Precinct 7648 MB - None	0	0	1	0	0	0	0	0
Precinct 7649 - None	11	157	891	178	0	0	10	168
Precinct 7649 - None	65	307	891	395	0	0	23	372
Precinct 7651 - None	23	134	677	166	1	0	8	157
Precinct 7651 - None	35	300	677	351	0	0	16	335
Precinct 7652 - None	15	116	628	135	0	0	4	131
Precinct 7652 - None	26	256	628	301	0	1	18	282
Precinct 7653 - None	24	253	1,280	300	0	0	23	277
Precinct 7653 - None	65	570	1,280	673	0	0	38	635
Precinct 7701 - None	30	254	1,064	296	0	0	12	284
Precinct 7701 - None	66	501	1,064	597	0	0	30	567
Precinct 7702 - None	21	147	748	180	0	0	12	168
Precinct 7702 - None	70	323	748	415	0	0	22	393
